dataset,instance,T,J,I,cplex_budget_used,cplex_Z,cplex_Z_1h,cplex_bound,cplex_gap_pct,cplex_status,cplex_mip_600_Z,cplex_mip_3600_Z,cplex_mip_10800_Z,cplex_mip_10800_bound,cplex_mip_10800_gap_pct,rf_fo_600_Z,rf_mip_600_Z,rf_fo_3600_Z,rf_mip_3600_Z,ils2_Z_best,ils2_Z_mean,ils2_Z_std,ils1_Z_best,BKS,bks_source,gap_ils2_vs_bound_pct,gap_ils2_vs_cplex_primal_pct,gap_ils2_vs_BKS_pct,gap_cplex_vs_BKS_pct,gap_rf_fo_600_vs_BKS_pct,gap_rf_mip_600_vs_BKS_pct,gap_mip_600_vs_BKS_pct,gap_rf_fo_3600_vs_BKS_pct,gap_rf_mip_3600_vs_BKS_pct,gap_mip_3600_vs_BKS_pct,ils2_wins,ties
Real,Ale_1,25,160,50,3h,86264.683,86264.683,86264.683,0.0,OptimalGlobal,86264.683,,,,,86317.983,86264.683,86317.983,,86324.908,88602.8517,1899.1289260058168,100569.996,86264.683,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\Ale_1_mip_seed1_b600.json,0.06981420194865988,0.06981420194865988,0.06981420194865988,0.0,0.06178658304463758,0.0,0.0,0.06178658304463758,,,False,False
Real,Ale_10,19,159,50,3h,5639.568,5639.568,5639.568,0.0,OptimalGlobal,5639.568,,,,,5658.468,5639.568,5658.468,,6063.274,6411.3444,271.7555953990848,7142.758,5639.568,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\Ale_10_mip_seed1_b600.json,7.513093201465079,7.513093201465079,7.513093201465079,0.0,0.33513205266785745,0.0,0.0,0.33513205266785745,,,False,False
Real,Ale_2,19,159,50,3h,99950.709,99950.709,99950.709,0.0,OptimalGlobal,99950.709,,,,,99950.709,99950.709,99950.709,,100009.609,101112.4841,686.397881949665,105702.766,99950.709,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\Ale_2_mip_seed1_b600.json,0.058929046716411165,0.058929046716411165,0.058929046716411165,0.0,0.0,0.0,0.0,0.0,,,False,False
Real,Ale_3,19,159,50,3h,39695.173,39695.173,39695.173,0.0,OptimalGlobal,39695.173,,,,,39695.173,39695.173,39695.173,,40763.571,42439.563700000006,1265.3522450725868,44119.473,39695.173,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\Ale_3_mip_seed1_b600.json,2.6915060931967747,2.6915060931967747,2.6915060931967747,0.0,0.0,0.0,0.0,0.0,,,False,False
Real,Ale_4,19,159,50,3h,127725.976,127725.976,127725.976,0.0,OptimalGlobal,127725.976,,,,,127800.463,127725.976,127800.463,,127839.076,129024.2697,1219.8791207967229,128457.26,127725.976,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\Ale_4_mip_seed1_b600.json,0.08854894168121748,0.08854894168121748,0.08854894168121748,0.0,0.05831781626002863,0.0,0.0,0.05831781626002863,,,False,False
Real,Ale_5,19,159,50,3h,35426.141,35426.141,35426.141,0.0,OptimalGlobal,35426.141,,,,,35439.916,35426.141,35439.916,,35426.141,35454.8027,83.00795003431713,48181.896,35426.141,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\Ale_5_mip_seed1_b600.json,0.0,0.0,0.0,0.0,0.038883715841344896,0.0,0.0,0.038883715841344896,,,False,True
Real,Ale_6,19,159,50,3h,66677.463,66677.463,66677.463,0.0,OptimalGlobal,66677.463,,,,,66677.463,66677.463,66677.463,,67288.871,68627.077,810.4464879129548,69353.482,66677.463,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\Ale_6_mip_seed1_b600.json,0.9169635023456063,0.9169635023456063,0.9169635023456063,0.0,0.0,0.0,0.0,0.0,,,False,False
Real,Ale_7,19,159,50,3h,10568.618,10568.618,10568.618,0.0,OptimalGlobal,10568.618,,,,,10568.618,10568.618,10568.618,,10578.918,10578.918,1.9173831849720224e-12,17718.183,10568.618,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\Ale_7_mip_seed1_b600.json,0.09745834318166549,0.09745834318166549,0.09745834318166549,0.0,0.0,0.0,0.0,0.0,,,False,False
Real,Ale_8,19,159,50,3h,160911.938,160911.938,160911.938,0.0,OptimalGlobal,160911.938,,,,,160911.938,160911.938,160911.938,,161498.634,162800.02,954.372744919699,164214.724,160911.938,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\Ale_8_mip_seed1_b600.json,0.3646068820574371,0.3646068820574371,0.3646068820574371,0.0,0.0,0.0,0.0,0.0,,,False,False
Real,Ale_9,19,159,50,3h,15627.917,15627.917,15627.917,0.0,OptimalGlobal,15627.917,,,,,15635.217,15627.917,15635.217,,15863.543,16028.8549,156.837621620756,16732.347,15627.917,MAT_mip_600s | 600s | experiments\matheuristics\results_production\b600\Ale_9_mip_seed1_b600.json,1.5077249258490444,1.5077249258490444,1.5077249258490444,0.0,0.04671127956464762,0.0,0.0,0.04671127956464762,,,False,False
